variant_id,angle_tag,brand,audience_variant,hook,caption,script,verdict,rule,voice_score,reason,repaired,repair_attempts,repaired_from_rule,original_hook,original_caption
V001,newborn-default,naturemade,"Expecting mums (first-time, researching online)",Years of SG mums. One gentle choice. 🌿,"From day one, Huggies Platinum Naturemade has been the comfort mums reach for—again and again. Gentle on delicate skin, trusted by families across Singapore.",Soft close-up of newborn's cheek against NatureSoft liner | Mum's voice: 'We've been using Huggies Naturemade for years now—it's just what we trust' | Pack held gently in mum's hands as baby sleeps peacefully,PASS,,8.0,"on-voice (8/10): Warm, reassurance-first, mum-centric with nature-and-comfort pairing and the gentle-trust tone lands on-voice, though the hug motif is absent and the heritage/social-proof angle slightly underserves the first-time-researcher audience versus a comfort-benefit lead.",,,,,
V002,newborn-default,naturemade,"Mums-to-be (antenatal class attendees, expecting parents)",What do thousands of Singapore mums already know?,"The comfort of a hug, every single day. Huggies Platinum Naturemade—gentle softness that lets baby rest peacefully. 💕","Soft maternity-ward lighting, newborn's tiny hand wrapped in parent's finger | Text overlay: 'Highly recommend it' (real mum quote) | Baby in Huggies, peaceful and content in cot",PASS,,9.0,"on-voice (9/10): Warm reassurance-first tone with the hug motif, gentle nature-comfort language, British 'mums', emoji warmth, and antenatal audience fit all land squarely on-voice.",True,1,hospital-endorsement,What do thousands of Singapore families already know?,"The comfort of a hug, every single day. Huggies Platinum Naturemade—the gentle default that keeps babies sleeping soundly. 💕"
V003,newborn-default,naturemade,"Practical gift-givers (partners, grandparents building nursery)",Goodness of nature. Comfort of a hug. Day one. 🌿,Your newborn deserves gentle. Huggies Platinum Naturemade wraps them in the care mums across Singapore have loved for years.,"Split-screen: newborn's first day at home in soft cot on left | Right side: same mum now holding Huggies pack, smiling 'We've used it for years' | Both frames soft, warm, reassuring",PASS,,8.0,"on-voice (8/10): Strong voice fit with the hug motif, nature-comfort pairing, mum-centric warmth, and emoji-warm tone, though 'Your newborn deserves gentle' skirts faint guilt/pressure and reads slightly awkward.",True,1,hospital-endorsement,Goodness of nature. Comfort of a hug. Day one. 🌿,Your newborn deserves gentle. Huggies Platinum Naturemade wraps them in the care families across Singapore have chosen for years.
V004,newborn-default,naturemade,"Community-driven mums (active in parenting groups, value peer reviews)",The diaper every Singapore mum talks about. 💕,Not just our word—mums have been saying it for years: Huggies Platinum Naturemade is the gentle comfort that works. Let baby sleep and play in comfort!,"Montage of real newborn moments: skin contact, peaceful sleeping, diaper change | Voiceover (warm mum tone): 'We have been using Huggies Naturemade for years, highly recommend it' | Final frame: baby in Huggies, thriving",PASS,,8.0,"on-voice (8/10): Warm, mum-centric, British English, hug-emoji and the signature 'Let baby sleep and play in comfort!' line fit the voice well, though the nature/hug motifs are a bit light for a fuller-voice score.",,,,,
V005,newborn-default,naturemade,"Nature-conscious expecting mums (wellness-focused, ingredient-aware)",Your newborn's skin meets nature's gentleness. 🌿,"From the first day home, Huggies Platinum Naturemade is the hug your baby deserves. Trusted comfort, trusted choice.","Close-up: NatureSoft liner against baby's cheek, parent's finger gently touching | Mum voiceover: 'Soft, gentle, and it just works' | Wide shot: contented newborn in Huggies, family resting peacefully",PASS,,9.0,"on-voice (9/10): Warm reassurance-first tone with hug motif, nature language paired with comfort benefits, mum-centric voiceover, and 🌿 emoji all land squarely on-voice for the premium naturemade line.",,,,,
V006,newborn-default,naturemade,"Second-time mums (loyalty retention, confidence-building)",One diaper. Years of mums saying yes. 🤍,Huggies Platinum Naturemade: the gentle choice that's kept Singapore newborns comfortable since day one. Because comfort like a hug starts here.,"Intimate shot: mum changing newborn's nappy, soft smile | Baby's clean skin visible, visibly content | Transition to mum holding Huggies pack: 'Highly recommend it' text appears | Warm fade on sleeping baby",PASS,,8.0,"on-voice (8/10): Warm, reassurance-first tone with the hug motif, British 'nappy/mums', and confidence-building loyalty angle all land on-voice, though the hook's 'years of mums saying yes' is slightly generic and the gentle-nature language lacks its signature concrete comfort pairing.",,,,,
V007,overnight-up-to-12h,naturemade,"Sleep-deprived parents, first-time overnight worriers",3am panic? Not anymore. Finally sleeping through.,"Mums, Huggies Platinum Naturemade lasts up to 12 hours—that's uninterrupted sleep for you AND bub. 🌿💕 The Goodness of Nature, the comfort of a proper hug.","Exhausted parent's face at 3am alarm | Baby sleeping peacefully, diaper still dry | Parent's relieved smile as they drift back to sleep",PASS,,7.0,"on-voice (7/10): Warm, mum-centric with correct hug motif, nature-comfort pairing and 🌿💕 emoji, but the '3am panic?' hook leans slightly into anxiety-triggering territory that brushes against the no-fear-mongering guideline.",,,,,
V008,overnight-up-to-12h,naturemade,Heavy-wetter parents seeking reassurance and comfort through the night,Heavy wetter? Built for longer comfort.,"Real mum, real talk: 'I switched to Huggies Naturemade and my little one stays dry and comfortable through the night.' We got you, baby. 💕🌿","Close-up of tired parent smiling with relief | Mum's voiceover: 'Finally a nappy I trust' | Morning sunlight on a happy, well-rested baby",PASS,,8.0,"on-voice (8/10): Warm, mum-centric, reassurance-first with the hug motif ('We got you, baby'), correct British 'nappy' and emoji-warmth, though the 'Heavy wetter?' hook leans slightly clinical-blunt versus the line's gentler benefit framing.",True,1,duration-without-up-to,Heavy wetter? 12-hour protection without the wake-ups.,"Real mum, real talk: 'I'm using Huggies Naturemade and it lasts 12 hours for my little one!' No more midnight sheet changes. We got you, baby. 💕🌿"
V009,overnight-up-to-12h,naturemade,Parents ready to invest in better sleep (carousel format),Wet sheets at 2am or dry bed at 7am? Naturemade Overnite Pants are made for longer nights.,Naturemade Overnite Pants: NatureSoft liner meets thoughtful design for extended wear. Let baby sleep and play in comfort—so you can finally rest. 🌿💕,"Before: rumpled wet sheets, frustrated parent | Middle: Naturemade applied with care | After: morning light, peaceful baby, restful night",PASS,,8.0,"on-voice (8/10): Warm reassurance-first tone with the NatureSoft/comfort pairing, signature site line, and emoji-warm social land solidly on-voice, though 'parents' over 'mums' and the slightly product-feature 'thoughtful design/extended wear' phrasing dip just short of the hug-motif best copy.",True,1,duration-without-up-to,Wet sheets at 2am or dry bed at 7am? Choose wisely.,Naturemade Overnite Pants: NatureSoft liner meets 12-hour protection. Let baby sleep and play in comfort—so you can finally rest. 🌿💕
V010,overnight-up-to-12h,naturemade,Anxious overnight-watchers seeking peace of mind,Your 3am diaper check just became optional.,Up to 12 hours of comfort like a hug. Huggies Platinum Naturemade—because mums deserve uninterrupted sleep too. ✨🌿,"Parent tiptoeing to nursery at night, gently checking diaper | Satisfied check-mark as they confirm: dry | Parent returning to bed, truly peaceful",PASS,,8.0,"on-voice (8/10): Warm, reassurance-first and mum-centric with the hug motif and gentle nature emoji, though the '3am check optional' hook edges slightly toward the clinical/anxiety framing rather than the brand's pure comfort tone.",,,,,
